"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
1462,105,"IND","India",1,"Andaman and Nicobar","","Andaman & Nicobar Islands|Andaman et Nicobar|Iihas de Andama e Nicobar|Inseln Andamanen und Nikobare","Union Territor","Union Territory"
1463,105,"IND","India",2,"Andhra Pradesh","","","State","State"
1464,105,"IND","India",3,"Arunachal Pradesh","","Agence de la Frontière du Nord-Est(French-obsolete)|North East Frontier Agency","State","State"
1465,105,"IND","India",4,"Assam","","","State","State"
1466,105,"IND","India",5,"Bihar","","","State","State"
1467,105,"IND","India",6,"Chandigarh","","","Union Territor","Union Territory"
1468,105,"IND","India",7,"Chhattisgarh","","","State","State"
1469,105,"IND","India",8,"Dadra and Nagar Haveli","","DAdra et Nagar Haveli|Dadra e Nagar Haveli","Union Territor","Union Territory"
1470,105,"IND","India",9,"Daman and Diu","","","Union Territor","Union Territory"
1471,105,"IND","India",10,"Delhi","","","Union Territor","Union Territory"
1472,105,"IND","India",11,"Goa","","Gôa","State","State"
1473,105,"IND","India",12,"Gujarat","","Goudjerate|Gujerat|Gujerate","State","State"
1474,105,"IND","India",13,"Haryana","","","State","State"
1475,105,"IND","India",14,"Himachal Pradesh","","","Union Territor","Union Territory"
1476,105,"IND","India",15,"Jammu and Kashmir","","","State","State"
1477,105,"IND","India",16,"Jharkhand","","Vananchal","State","State"
1478,105,"IND","India",17,"Karnataka","","Maisur|Mysore","State","State"
1479,105,"IND","India",18,"Kerala","","","State","State"
1480,105,"IND","India",19,"Lakshadweep","","Íles Laquedives|Laccadive|Minicoy and Amindivi Islands|Laccadives|Lackadiverna|Lakkadiven|Lakkadi","Union Territor","Union Territory"
1481,105,"IND","India",20,"Madhya Pradesh","","","State","State"
1482,105,"IND","India",21,"Maharashtra","","","State","State"
1483,105,"IND","India",22,"Manipur","","","State","State"
1484,105,"IND","India",23,"Meghalaya","","","State","State"
1485,105,"IND","India",24,"Mizoram","","","State","State"
1486,105,"IND","India",25,"Nagaland","","","State","State"
1487,105,"IND","India",26,"Orissa","","","State","State"
1488,105,"IND","India",27,"Puducherry","","Pondicherry|Puduchcheri|Pondichéry","Union Territor","Union Territory"
1489,105,"IND","India",28,"Punjab","","","State","State"
1490,105,"IND","India",29,"Rajasthan","","Greater Rajasthan|Rajputana","State","State"
1491,105,"IND","India",30,"Sikkim","","","State","State"
1492,105,"IND","India",31,"Tamil Nadu","","Madras|Tamilnad","State","State"
1493,105,"IND","India",32,"Tripura","","","State","State"
1494,105,"IND","India",33,"Uttar Pradesh","","United Provinces","State","State"
1495,105,"IND","India",34,"Uttaranchal","","Uttarakhand","State","State"
1496,105,"IND","India",35,"West Bengal","","Bangla|Bengala Occidentale|Bengala Ocidental|Bengale occidental","State","State"
