"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
17173,105,"IND","India",1,"Andaman and Nicobar",1,"Andaman Islands","","","District","District"
17174,105,"IND","India",1,"Andaman and Nicobar",2,"Nicobar Islands","","","District","District"
17175,105,"IND","India",2,"Andhra Pradesh",3,"Adilabad","","","District","District"
17176,105,"IND","India",2,"Andhra Pradesh",4,"Anantapur","","Anantpur, Ananthapur","District","District"
17177,105,"IND","India",2,"Andhra Pradesh",5,"Chittoor","","Chitoor|Chittor","District","District"
17178,105,"IND","India",2,"Andhra Pradesh",6,"Cuddapah","","","District","District"
17179,105,"IND","India",2,"Andhra Pradesh",7,"East Godavari","","","District","District"
17180,105,"IND","India",2,"Andhra Pradesh",8,"Guntur","","","District","District"
17181,105,"IND","India",2,"Andhra Pradesh",9,"Hyderabad","","","District","District"
17182,105,"IND","India",2,"Andhra Pradesh",10,"Karimnagar","","","District","District"
17183,105,"IND","India",2,"Andhra Pradesh",11,"Khammam","","Khammamamet","District","District"
17184,105,"IND","India",2,"Andhra Pradesh",12,"Krishna","","Kistna","District","District"
17185,105,"IND","India",2,"Andhra Pradesh",13,"Kurnool","","","District","District"
17186,105,"IND","India",2,"Andhra Pradesh",14,"Mahbubnagar","","Mehbubnagar;Mahaboobnagar","District","District"
17187,105,"IND","India",2,"Andhra Pradesh",15,"Medak","","Sangapeddi","District","District"
17188,105,"IND","India",2,"Andhra Pradesh",16,"Nalgonda","","","District","District"
17189,105,"IND","India",2,"Andhra Pradesh",17,"Nellore","","","District","District"
17190,105,"IND","India",2,"Andhra Pradesh",18,"Nizamabad","","","District","District"
17191,105,"IND","India",2,"Andhra Pradesh",19,"Prakasam","","","District","District"
17192,105,"IND","India",2,"Andhra Pradesh",20,"Rangareddi","","Rangareddy","District","District"
17193,105,"IND","India",2,"Andhra Pradesh",21,"Srikakulam","","Srikakulum","District","District"
17194,105,"IND","India",2,"Andhra Pradesh",22,"Vishakhapatnam","","Fisakapatnam|Vizagapatam|Visakhapatnam","District","District"
17195,105,"IND","India",2,"Andhra Pradesh",23,"Vizianagaram","","Vizianagram","District","District"
17196,105,"IND","India",2,"Andhra Pradesh",24,"Warangal","","","District","District"
17197,105,"IND","India",2,"Andhra Pradesh",25,"West Godavari","","","District","District"
17198,105,"IND","India",3,"Arunachal Pradesh",26,"Changlang","","","District","District"
17199,105,"IND","India",3,"Arunachal Pradesh",27,"East Kameng","","","District","District"
17200,105,"IND","India",3,"Arunachal Pradesh",28,"East Siang","","","District","District"
17201,105,"IND","India",3,"Arunachal Pradesh",29,"Kurung Kumey","","","District","District"
17202,105,"IND","India",3,"Arunachal Pradesh",30,"Lohit","","Lohit Frontier Division","District","District"
